"project","method_qual_name","release","loc","cbo","wmc","rfc","lcom","dit","noc","is_long_method","is_god_class"
"BOOKKEEPER","newBuilder/1[org.apache.hedwig.protocol.PubSubProtocol.StartDeliveryRequest]","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","parseFrom/1[com.google.protobuf.ByteString]","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","getDescriptor/0","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","getSerializedSize/0","4.0.0","11","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","StartDeliveryRequest/1[boolean]","4.0.0","2","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","newBuilderForType/0","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","StartDeliveryRequest/0","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","parseFrom/1[byte[]]","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","parseDelimitedFrom/1[java.io.InputStream]","4.0.0","9","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","parseFrom/2[byte[],com.google.protobuf.ExtensionRegistryLite]","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","parseFrom/1[java.io.InputStream]","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","parseFrom/2[com.google.protobuf.ByteString,com.google.protobuf.ExtensionRegistryLite]","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","newBuilder/0","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","parseDelimitedFrom/2[java.io.InputStream,com.google.protobuf.ExtensionRegistryLite]","4.0.0","9","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","internalGetFieldAccessorTable/0","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","getDefaultInstanceForType/0","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","getDefaultInstance/0","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","getSubscriberId/0","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","parseFrom/1[com.google.protobuf.CodedInputStream]","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","(initializer 14)","4.0.0","5","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","initFields/0","4.0.0","2","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","toBuilder/0","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","isInitialized/0","4.0.0","4","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","parseFrom/2[com.google.protobuf.CodedInputStream,com.google.protobuf.ExtensionRegistryLite]","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","hasSubscriberId/0","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","PubSubResponse/1[boolean]","4.0.0","2","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","parseDelimitedFrom/2[java.io.InputStream,com.google.protobuf.ExtensionRegistryLite]","4.0.0","9","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","isInitialized/0","4.0.0","9","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","getSerializedSize/0","4.0.0","29","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","hasSubscriberId/0","4.0.0","3","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","parseFrom/1[byte[]]","4.0.0","3","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","hasStatusMsg/0","4.0.0","3","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","parseFrom/1[com.google.protobuf.CodedInputStream]","4.0.0","3","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","getProtocolVersion/0","4.0.0","3","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","parseFrom/2[com.google.protobuf.CodedInputStream,com.google.protobuf.ExtensionRegistryLite]","4.0.0","3","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","parseFrom/1[com.google.protobuf.ByteString]","4.0.0","3","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","toBuilder/0","4.0.0","3","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","getDefaultInstance/0","4.0.0","3","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","getSubscriberId/0","4.0.0","3","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","(initializer 15)","4.0.0","5","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","getDefaultInstanceForType/0","4.0.0","3","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","hasMessage/0","4.0.0","3","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","writeTo/1[com.google.protobuf.CodedOutputStream]","4.0.0","25","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","initFields/0","4.0.0","5","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","parseFrom/2[java.io.InputStream,com.google.protobuf.ExtensionRegistryLite]","4.0.0","3","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","getDescriptor/0","4.0.0","3","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","getTopic/0","4.0.0","3","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","hasTxnId/0","4.0.0","3","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","newBuilder/1[org.apache.hedwig.protocol.PubSubProtocol.PubSubResponse]","4.0.0","3","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","getTxnId/0","4.0.0","3","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","getStatusMsg/0","4.0.0","3","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","internalGetFieldAccessorTable/0","4.0.0","3","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","hasProtocolVersion/0","4.0.0","3","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","parseFrom/2[com.google.protobuf.ByteString,com.google.protobuf.ExtensionRegistryLite]","4.0.0","3","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","hasTopic/0","4.0.0","3","14","61","43","575.0","2","0","0","1"
